,cell,mcc,net,area,lon,lat,zone,road,dist_road,traffic,priority,clusterId
4244,11051,624,2,24,11.130798,3.641487,0,POINT (11.105195543123045 3.760548947836668),13.540465946241563,0.30196242125629413,0.0,58.0
4246,11073,624,2,24,11.132278,3.638535,0,POINT (11.105512043786888 3.7606185176329916),13.896171340222619,0.1925705493003771,0.0,58.0
4247,11053,624,2,24,11.116653,3.623154,0,POINT (11.104787847352696 3.760492872904422),15.328035755694202,0.8770914343728435,0.0,58.0
4248,11052,624,2,24,11.10759,3.609512,0,POINT (11.104018053365223 3.760466050814273),16.790003699938207,0.9589866445189761,0.0,58.0
4252,16533,624,2,24,11.172016,3.716224,0,POINT (11.19091894325922 3.7643896196898083),5.751828388558845,0.5970854071180892,0.0,58.0
4254,11071,624,2,24,11.204681,3.758011,0,POINT (11.203871330595177 3.7655030717073714),0.8379102621360001,0.5376869835154345,0.0,58.0
5034,21856,624,2,24,11.503983,3.530045,0,POINT (11.514251193453646 3.5291853700139484),1.1436069248968475,0.1719157970755798,0.0,58.0
5035,21899,624,2,24,11.512222,3.545761,0,POINT (11.515641248275955 3.541657390479031),0.5934747699031764,0.6261570736979883,0.0,58.0
5036,21764,624,2,24,11.507492,3.522903,0,POINT (11.513329854656831 3.522453779756262),0.6498359464958399,0.6122013768687171,0.0,58.0
5037,5512,624,2,24,11.505587,3.523001,0,POINT (11.513281658713566 3.521996463119109),0.8612645498773294,0.6891002853673842,0.0,58.0
5038,21854,624,2,24,11.509062,3.533641,0,POINT (11.514487227847013 3.53393598127559),0.6030035436298483,0.5087781762909533,0.0,58.0
5039,21855,624,2,24,11.507187,3.522771,0,POINT (11.513281658713566 3.521996463119109),0.6818757411335347,0.44140126648548295,0.0,58.0
5040,21765,624,2,24,11.513343,3.503295,0,POINT (11.511608882297224 3.4938921932354106),1.063111548276089,0.14986182574896423,0.0,58.0
5051,18131,624,2,24,11.150436401367,3.6481475830078,0,POINT (11.132033726532399 3.7652648580191794),13.181969320630426,0.2120053826752054,0.0,58.0
5095,21898,624,2,24,11.51347,3.514211,0,POINT (11.51234011953008 3.514574874592199),0.13176657593161462,0.45102321701916226,0.0,58.0
5098,5511,624,2,24,11.510668,3.523865,0,POINT (11.513416355897562 3.5236340355421305),0.306104722361756,0.17614013941841844,0.0,58.0
5101,5513,624,2,24,11.499368,3.544579,0,POINT (11.514590492894115 3.54014948609813),1.759763819773337,0.7879726174894864,0.0,58.0
5105,21766,624,2,24,11.499252,3.519058,0,POINT (11.506649561646555 3.5111610930676704),1.2021366929234851,0.4951383960793976,0.0,58.0
9983,3743,624,2,24,11.022720336914,3.5451507568359,0,POINT (11.101778325018245 3.76094507658064),25.5487067819541,0.42799230617145434,0.0,58.0
10010,3741,624,2,24,11.069412231445,3.5369110107422,0,POINT (11.22071551939365 3.3735286503969633),24.74013709418788,0.6188253549139435,0.0,58.0
10038,3742,624,2,24,11.022720336914,3.5451507568359,0,POINT (11.101778325018245 3.76094507658064),25.5487067819541,0.478905984832803,0.0,58.0
14836,11611,624,2,24,11.411819,3.657761,0,POINT (11.374138629452943 3.7035280340136865),6.586439399077371,0.32078688638278896,0.0,58.0
16260,22384,624,2,24,11.609115600586,3.7923431396484,1,POINT (11.577688957070137 3.8492388711439958),7.2237111730477945,0.3535029929213108,0.0,58.0
16262,18582,624,2,24,11.620789,3.77861,1,POINT (11.62860449262152 3.8561325674090483),8.663618848925726,0.7898812190595617,0.0,58.0
17271,41121,624,2,24,11.306534,3.597336,0,POINT (11.305985626206194 3.5976690393408717),0.07123812589695251,0.9502734263282439,0.0,58.0
18084,2277,624,2,24,11.508865356445,3.5204315185547,0,POINT (11.513153834690172 3.52032335142664),0.47610915315483143,0.49616947072585704,0.0,58.0
18085,2278,624,2,24,11.506119,3.500519,0,POINT (11.504078831943247 3.495983729534288),0.5528017150969027,0.6853597845302221,0.0,58.0
18093,41122,624,2,24,11.312485,3.558426,0,POINT (11.308593823016679 3.5561465997618598),0.5007308111631392,0.06363163579859787,0.0,58.0
18103,23596,624,2,24,11.508865356445,3.5190582275391,0,POINT (11.513176633466799 3.5188801553382234),0.47889777369480024,0.8942973709229886,0.0,58.0
18530,22483,624,2,24,10.776901245117,3.6344146728516,0,POINT (10.774306588122528 3.6364451483451035),0.3658973512987869,0.5509835554060835,0.0,58.0
18531,22481,624,2,24,10.765914916992,3.6618804931641,0,POINT (10.78317212710914 3.666775148797484),1.9908317741542312,0.7075521919175428,0.0,58.0
18538,22482,624,2,24,10.776901245117,3.6426544189453,0,POINT (10.776867678637188 3.6421488658166083),0.05633821593278291,0.9838018524972296,0.0,58.0
18545,18003,624,2,24,10.776901245117,3.6357879638672,0,POINT (10.774456372732232 3.6367445499264477),0.2914158846261114,0.08327567644857692,0.0,58.0
18550,18002,624,2,24,10.776901245117,3.6371612548828,0,POINT (10.774532480413058 3.6371941552126827),0.262889537414606,0.6000772799100978,0.0,58.0
18558,18001,624,2,24,10.765914916992,3.6618804931641,0,POINT (10.78317212710914 3.666775148797484),1.9908317741542312,0.06316399279391427,0.0,58.0
18560,21917,624,2,24,10.771408081055,3.6550140380859,0,POINT (10.775360780084668 3.6416630507086722),1.548005238705669,0.8951770778835624,0.0,58.0
18567,21918,624,2,24,10.765914916992,3.6618804931641,0,POINT (10.78317212710914 3.666775148797484),1.9908317741542312,0.6975361332117376,0.0,58.0
18572,21919,624,2,24,10.764541625977,3.6646270751953,0,POINT (10.782834252592238 3.6682151597626955),2.0687223198877684,0.6317393530651426,0.0,58.0
